Kategorie: Alle Kategorien

Monat,winnie the pooh: (Weltweit)
2004-01,90
2004-02,100
2004-03,90
2004-04,82
2004-05,71
2004-06,68
2004-07,64
2004-08,64
2004-09,74
2004-10,83
2004-11,80
2004-12,88
2005-01,83
2005-02,81
2005-03,71
2005-04,61
2005-05,68
2005-06,60
2005-07,54
2005-08,59
2005-09,59
2005-10,62
2005-11,71
2005-12,69
2006-01,64
2006-02,60
2006-03,58
2006-04,57
2006-05,53
2006-06,49
2006-07,45
2006-08,44
2006-09,49
2006-10,56
2006-11,57
2006-12,57
2007-01,49
2007-02,46
2007-03,44
2007-04,41
2007-05,39
2007-06,37
2007-07,36
2007-08,38
2007-09,41
2007-10,45
2007-11,46
2007-12,46
2008-01,40
2008-02,39
2008-03,38
2008-04,33
2008-05,34
2008-06,31
2008-07,29
2008-08,32
2008-09,32
2008-10,34
2008-11,37
2008-12,35
2009-01,34
2009-02,34
2009-03,32
2009-04,30
2009-05,32
2009-06,28
2009-07,28
2009-08,31
2009-09,33
2009-10,34
2009-11,37
2009-12,32
2010-01,32
2010-02,30
2010-03,29
2010-04,27
2010-05,29
2010-06,25
2010-07,27
2010-08,27
2010-09,27
2010-10,30
2010-11,37
2010-12,45
2011-01,30
2011-02,30
2011-03,27
2011-04,31
2011-05,30
2011-06,35
2011-07,67
2011-08,41
2011-09,34
2011-10,38
2011-11,37
2011-12,34
2012-01,34
2012-02,34
2012-03,30
2012-04,30
2012-05,28
2012-06,28
2012-07,28
2012-08,28
2012-09,29
2012-10,32
2012-11,28
2012-12,31
2013-01,32
2013-02,29
2013-03,29
2013-04,26
2013-05,26
2013-06,24
2013-07,24
2013-08,24
2013-09,25
2013-10,27
2013-11,26
2013-12,26
2014-01,25
2014-02,25
2014-03,25
2014-04,25
2014-05,24
2014-06,22
2014-07,22
2014-08,23
2014-09,23
2014-10,26
2014-11,26
2014-12,25
2015-01,24
2015-02,24
2015-03,23
2015-04,23
2015-05,22
2015-06,23
2015-07,21
2015-08,22
2015-09,23
2015-10,26
2015-11,26
2015-12,25
2016-01,24
2016-02,24
2016-03,22
2016-04,23
2016-05,22
2016-06,21
2016-07,20
2016-08,20
2016-09,22
2016-10,26
2016-11,22
2016-12,22
2017-01,23
2017-02,21
2017-03,20
2017-04,21
2017-05,19
2017-06,24
2017-07,21
2017-08,21
2017-09,22
2017-10,29
2017-11,22
2017-12,21
2018-01,24
2018-02,24
2018-03,33
2018-04,23
2018-05,24
2018-06,40
2018-07,44
2018-08,59
2018-09,37
2018-10,35
2018-11,34
2018-12,29
2019-01,27
2019-02,27
2019-03,31
2019-04,30
2019-05,28
2019-06,24
2019-07,23
2019-08,24
2019-09,25
2019-10,40
2019-11,29
2019-12,27
2020-01,25
2020-02,26
2020-03,26
2020-04,28
2020-05,26
2020-06,25
2020-07,23
2020-08,23
2020-09,24
2020-10,25
2020-11,21
2020-12,23
2021-01,24
2021-02,25
